Board Name,School Number,School Name,School Language,Street,City,Postal Code,Enrolment,Latitude,Longitude,Percentage of Students Whose First Language Is Not English,Percentage of Students Who Are New to Canada from a Non-English Speaking Country,Percentage of Students Receiving Special Education Services,Percentage of Students Identified as Gifted,Percentage of Grade 9 Students Achieving the Provincial Standard in Academic Mathematics,Change in Grade 9 Academic Mathematics Acheivement Over Three Years,Percentage of Grade 9 Students Achieving the Provincial Standard in Applied Mathematics,Percentage of Students That Passed the Grade 10 OSSLT on Their First Attempt,Change in Grade 10 OSSLT Literacy Achievement Over Three Years,Percentage of Children Who Live in Low-Income Households,Percentage of Students Whose Parents Have Some University Education
Upper Canada DSB,898520,Carleton Place High School,English,215 Lake,Carleton Place,K7C1M3,503,45.13362,-76.14829,6,SP,27.4,SP,0.94,15,0.46,0.77,-4,11.72,11.12
Upper Canada DSB,897876,Charlottenburgh and Lancaster District High School,English,19743 John,Williamstown,K0C2J0,231,45.14456,-74.57287,SP,NA,34.2,NA,0.92,26,N/R,0.92,4,15.59,SP
Upper Canada DSB,902810,Cornwall Collegiate and Vocational School,English,437 Sydney,Cornwall,K6H3H9,605,45.02286,-74.72809,12.9,1.7,39.7,SP,0.69,3,0.3,0.55,-7,32.99,SP
Upper Canada DSB,911526,Gananoque Secondary School,English,175 William,Gananoque,K7G1S8,342,44.33058,-76.15665,SP,SP,31.6,SP,0.71,21,0.28,0.69,-15,14.53,SP
Upper Canada DSB,913219,Glengarry District High School,English,212 Main,Alexandria,K0C1A0,257,45.31532,-74.64017,SP,NA,42.8,NA,0.83,-14,0.47,0.83,4,16.45,SP
Upper Canada DSB,929590,North Dundas District High School,English,2835 County,Chesterville,K0C1H0,320,45.09167,-75.28655,SP,SP,29.4,SP,0.83,7,0.44,0.78,9,13.58,SP
Upper Canada DSB,929859,North Grenville District High School,English,2605 Concession,Kemptville,K0G1J0,549,45.00819,-75.64676,3.3,SP,26.4,SP,0.93,-6,0.66,0.74,-4,11.15,7.35
Upper Canada DSB,935050,Perth and District Collegiate Institute,English,13 Victoria,Perth,K7H2H3,499,44.90469,-76.25026,SP,SP,30.5,SP,0.85,7,0.5,0.75,1,17,8.99
Upper Canada DSB,936286,Prescott-Russell Eastern Ontario,English,860 Caron,Rockland,K4K1H1,157,45.551879187,-75.275905856,9.6,SP,21,NA,NA,NA,NA,NA,NA,17.18,6.83
Upper Canada DSB,938300,Rideau District High School,English,251 Main,Elgin,K0G1E0,277,44.61564,-76.21013,SP,NA,40.8,SP,0.97,6,0.58,0.78,2,18.59,SP
Upper Canada DSB,935425,Rockland District High School,English,1004 St Joseph,Rockland,K4K1P6,254,45.54438,-75.2848,5.9,SP,36.6,SP,0.62,-21,0.33,0.73,0,14.14,8.57
Upper Canada DSB,937673,Russell High School,English,982 North Russell,Russell,K4R1C8,305,45.26657,-75.364,8.9,NA,31.1,SP,0.72,0,0.44,0.74,-6,8.43,14.94
Upper Canada DSB,918415,Seaway District High School,English,2 Beach,Iroquois,K0E1K0,285,44.85073,-75.31488,NA,NA,29.5,NA,0.95,17,0.42,0.67,-3,17.14,SP
Upper Canada DSB,942596,Smiths Falls District Collegiate Institute,English,299 Percy,Smiths Falls,K7A5M2,744,44.88529,-76.0174,3.9,NA,30.8,1.5,0.52,-22,0.09,0.66,-10,18.79,3.24
Upper Canada DSB,942987,South Grenville District High School,English,1000 Edward,Prescott,K0E1T0,420,44.71968,-75.52174,SP,SP,32.4,NA,0.63,21,0.31,0.7,1,16.42,SP
Upper Canada DSB,944670,St Lawrence Secondary School,English,1450 Second,Cornwall,K6H5Z8,357,45.03017,-74.69817,22.1,SP,31.9,NA,0.54,-25,0.42,0.56,-12,28.41,SP
Upper Canada DSB,945072,T R Leger School of Adult & Continuing Secondary School,English,1500 Cumberland,Cornwall,K6J4K9,1222,45.14487,-76.1507,2.2,SP,38.6,NA,NA,NA,NA,0.5,7,24.09,2.57
Upper Canada DSB,946648,Tagwi Secondary School,English,16750 County Road,Avonmore,K0C1C0,333,45.17985,-74.92916,SP,NA,35.1,SP,0.77,-1,0.05,0.81,12,13,SP
Upper Canada DSB,948314,Thousand Islands Secondary School,English,2510 Parkedale,Brockville,K6V3H1,773,44.60207,-75.70429,5.2,SP,33.1,SP,0.75,-3,0.15,0.76,-2,20.03,SP
Upper Canada DSB,949094,Vankleek Hill Collegiate Institute,English,5814 Highway,Vankleek Hill,K0B1R0,310,45.52214,-74.65187,19,SP,20,SP,0.63,-17,0.05,0.83,-8,19.46,SP
Upper Grand DSB,899283,Centennial Collegiate and Vocational Institute,English,289 College,Guelph,N1G1S9,1431,43.52169,-80.2473,22.6,1.5,19.1,4.1,0.91,-2,0.65,0.85,-7,13.35,17.87
Upper Grand DSB,900214,Centre Dufferin District High School,English,150 Fourth,Shelburne,L0N1S1,813,44.08215,-80.20809,1.8,SP,22.9,SP,0.93,5,0.46,0.7,-4,16.46,4.57
Upper Grand DSB,909831,Centre Wellington District High School,English,905 Scotland,Fergus,N1M1Y7,1227,43.70179,-80.3562,2,NA,21.8,1.3,0.85,-3,0.7,0.82,1,9.97,8.66
Upper Grand DSB,902462,College Heights Secondary School,English,371 College,Guelph,N1G1T3,525,43.52022,-80.24945,2.7,SP,78.1,NA,N/D,NA,0.66,0.25,-3,19.2,6.06
Upper Grand DSB,953571,Day School -Wellington Centre For ContEd,English,1428 Gordon,Guelph,N1L1C8,61,43.51168,-80.19673,16.4,SP,SP,NA,NA,NA,NA,NA,NA,18.77,SP
Upper Grand DSB,947245,Dufferin Centre for Continuing Education,English,40 Amelia,Orangeville,L9W3T8,64,43.92228,-80.10782,SP,SP,SP,NA,NA,NA,NA,NA,NA,SP,SP
Upper Grand DSB,909050,Erin District High School,English,14 Boland,Erin,N0B1T0,571,43.77866,-80.06813,2.5,NA,26.1,2.1,0.88,-7,0.66,0.9,4,11.92,7.82
Upper Grand DSB,914770,Guelph Collegiate and Vocational Institute,English,155 Paisley,Guelph,N1H2P3,1429,43.54257,-80.25901,29.7,SP,19.8,4.8,0.92,0,0.48,0.85,-2,15.92,7.31
Upper Grand DSB,918679,John F Ross Collegiate and Vocational Institute,English,21 Meyer,Guelph,N1E4H1,1951,43.56185,-80.24658,16.9,3.8,21.1,2.5,0.91,0,0.63,0.9,6,15.4,8.07
Upper Grand DSB,931284,Norwell District Secondary School,English,135 Cumberland,Palmerston,N0G2P0,612,43.83453,-80.84348,2.9,SP,27,SP,0.85,-2,0.59,0.77,-6,13.07,SP
Upper Grand DSB,932450,Orangeville District Secondary School,English,22 Faulkner,Orangeville,L9W2G7,1285,43.92353,-80.10211,4.6,1.1,29.3,1.9,0.91,-2,0.59,0.79,0,15.04,7.23
Upper Grand DSB,953555,Wellington Heights Secondary School,English,405 Sligo,Mount Forest,N0G2L2,579,43.9909,-80.7361,SP,NA,26.9,SP,0.82,2,0.29,0.79,13,16.73,SP
Upper Grand DSB,947253,Westside Secondary School,English,300 Alder,Orangeville,L9W5A2,902,43.9062,-80.1238,SP,SP,25.6,2.1,0.96,8,0.61,0.72,-4,15.55,5.8
Waterloo CDSB,732320,Monsignor Doyle Catholic Secondary School,English,185 Myers,Cambridge,N1R7H2,1014,43.34084,-80.29773,15.7,SP,24.7,NA,0.8,6,0.38,0.76,-8,14.68,5.9
Waterloo CDSB,753009,Resurrection Catholic Secondary School,English,455 University,Kitchener,N2N3B9,1306,43.4409,-80.54674,21.1,0.9,24.9,NA,0.86,-1,0.75,0.86,-2,16.52,16.35
Waterloo CDSB,776726,St Benedict Catholic Secondary School,English,50 Saginaw,Cambridge,N1R5W1,1512,43.3922,-80.30138,17.9,1.3,21.8,NA,0.81,0,0.48,0.78,-3,16.15,10.98
Waterloo CDSB,786217,St David Catholic Secondary School,English,4 High,Waterloo,N2L3X5,1015,43.484,-80.52879,16.2,1.2,21.7,NA,0.83,2,0.65,0.86,-6,13.7,16.8
Waterloo CDSB,868286,St Don Bosco Catholic Secondary School,English,77 Young,Kitchener,N2H4Y9,NA,43.128804,-80.749104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Waterloo CDSB,832103,St Mary's High School,English,1500 Block Line,Kitchener,N2C2S2,1813,43.41937,-80.4696,31.3,5,22.7,NA,0.83,-3,0.58,0.72,-10,18.75,10.16
Waterloo Region DSB,895458,Bluevale Collegiate Institute,English,80 Bluevale,Waterloo,N2J3R5,1261,43.4751,-80.50011,13.5,1.4,22.4,SP,0.89,0,0.5,0.86,-3,13.8,18.7
Waterloo Region DSB,898090,Cameron Heights Collegiate Institute,English,301 Charles,Kitchener,N2G2P8,1919,43.4448,-80.48181,39.8,1.6,18.5,2,0.83,7,0.47,0.83,-3,19.22,9.84
Waterloo Region DSB,907499,Eastwood Collegiate Institute,English,760 Weber,Kitchener,N2H1H6,1324,43.43964,-80.46097,29.8,12.6,19.8,0.8,0.66,5,0.44,0.79,9,23.66,5.75
Waterloo Region DSB,908142,Elmira District Secondary School,English,4 University,Elmira,N3B1K2,1361,43.59382,-80.56256,23.5,SP,14.7,SP,0.92,3,0.84,0.92,2,9.34,8.44
Waterloo Region DSB,910350,Forest Heights Collegiate Institute,English,255 Fischer Hallman,Kitchener,N2M4X8,1229,43.42535,-80.52209,29.9,6.8,17.1,SP,0.63,-8,0.25,0.78,-8,18.81,7.52
Waterloo Region DSB,911399,Galt Collegiate and Vocational Institute,English,200 Water,Cambridge,N1R6V2,955,43.36885,-80.31851,24.2,4.1,9.5,SP,0.73,-9,0.79,0.78,-5,20.04,4.66
Waterloo Region DSB,913340,Glenview Park Secondary School,English,55 McKay,Cambridge,N1R4G6,878,43.34627,-80.307,14.5,SP,27.6,2.1,0.78,1,0.51,0.67,3,19.78,4.83
Waterloo Region DSB,914070,Grand River Collegiate Institute,English,175 Indian,Kitchener,N2B2S7,1348,43.45733,-80.43752,19.4,SP,24.9,SP,0.81,-3,0.47,0.77,-1,14.67,13.05
Waterloo Region DSB,917931,Huron Heights Secondary School,English,1825 Strasburg,Kitchener,N2R1S3,1334,43.39472,-80.46647,22.9,0.8,18.4,SP,0.75,-3,0.58,0.86,5,14.61,17.08
Waterloo Region DSB,918555,Jacob Hespeler Secondary School,English,355 Holiday Inn,Cambridge,N3C1Z2,1145,43.41773,-80.31697,8.6,SP,26.7,SP,0.79,-7,0.62,0.79,2,12.99,12.44
Waterloo Region DSB,920495,Kitchener Waterloo Collegiate and Vocational School,English,787 King,Kitchener,N2G1E3,1242,43.45561,-80.50879,15.1,1.5,30.5,SP,0.85,4,0.66,0.76,-6,21.6,11.62
Waterloo Region DSB,936480,Preston High School,English,550 Rose,Cambridge,N3H2E6,1104,43.39123,-80.36553,12,SP,18.1,NA,0.83,2,0.57,0.85,6,16.97,8.98
Waterloo Region DSB,926359,Rosemount - U Turn School,English,80 Burlington,Kitchener,N2B1T5,25,43.462217,-80.457675,SP,NA,SP,NA,NA,NA,NA,NA,NA,SP,SP
Waterloo Region DSB,942006,Sir John A Macdonald Secondary School,English,650 Laurelwood,Waterloo,N2V2V1,1413,43.47149,-80.59417,31.8,2.9,22.9,SP,0.91,2,0.59,0.83,-8,15.99,43.72
Waterloo Region DSB,943894,Southwood Secondary School,English,30 Southwood,Cambridge,N1S4K3,804,43.35003,-80.33688,4.2,SP,20.3,SP,0.73,-12,0.71,0.81,-6,12.84,4.55
Waterloo Region DSB,950912,Waterloo Collegiate Institute,English,300 Hazel,Waterloo,N2L3P2,1298,43.47934,-80.52996,35.6,8.6,17.3,1.9,0.92,3,0.5,0.89,2,19.23,18.78
Waterloo Region DSB,951048,Waterloo-Oxford District Secondary School,English,1206 Snyder's,Baden,N3A1A4,1342,43.4015,-80.6893,3.4,SP,19.7,SP,0.86,6,0.46,0.82,-3,9.23,10.81
Wellington CDSB,689661,Bishop Macdonell Catholic Secondary School,English,200 Clair,Guelph,N1L1G1,767,43.49505,-80.19598,2.6,SP,18.3,NA,0.91,-1,0.71,0.86,-1,11.35,17.85
Wellington CDSB,745529,Our Lady of Lourdes Catholic School,English,54 Westmount,Guelph,N1H5H7,809,43.54793,-80.26782,16.2,8.2,18.7,SP,0.92,7,0.71,0.87,0,15.29,5.59
Wellington CDSB,798690,St James Catholic School,English,57 Victoria,Guelph,N1E5G9,848,43.55968,-80.23359,5.3,1.8,20.8,NA,0.69,-11,0.45,0.84,-6,14.46,5.24
Wellington CDSB,858892,St John Bosco Catholic School,English,19 Northumberland,Guelph,N1H3A6,96,43.54317,-80.25098,NA,NA,52.1,SP,N/R,NA,N/R,N/R,NA,19.91,SP
Windsor-Essex CDSB,688363,Assumption College School,English,1100 Huron Church,Windsor,N9C2K7,613,42.29489,-83.06163,32.6,1.8,20.6,SP,0.88,0,0.5,0.86,-2,35.09,6.48
Windsor-Essex CDSB,694452,Cardinal Carter Catholic,English,120 Ellison,Leamington,N8H5C7,544,42.03925,-82.61348,13.4,SP,27.4,NA,0.94,16,0.54,0.83,-1,17.63,3.62
Windsor-Essex CDSB,700088,Catholic Central,English,441 Tecumseh,Windsor,N8X2R7,746,42.29711,-83.01852,60.3,33.2,20.6,NA,1,4,0.57,0.65,-14,44.63,4.77
Windsor-Essex CDSB,706523,F J Brennan Catholic High School,English,910 Raymo,Windsor,N8Y4A6,643,42.32534,-82.97603,10.6,SP,22.6,NA,0.93,6,0.71,0.84,-8,23.41,3.21
Windsor-Essex CDSB,715824,Holy Names Catholic High School,English,1400 Northwood,Windsor,N9E1A4,1312,42.27707,-83.03323,14.9,SP,15.8,NA,0.9,7,0.69,0.89,3,22.58,16.27
Windsor-Essex CDSB,771520,St Anne Secondary School,English,1200 Oakwood,Belle River,N0R1A0,1235,42.30929,-82.88952,3.2,SP,17.2,NA,0.92,1,0.62,0.9,3,9.41,13.92
Windsor-Essex CDSB,736163,St Joseph's,English,2425 Clover,Windsor,N8P2A3,952,42.31703,-82.91182,18.3,2.6,23.3,NA,0.87,0,0.52,0.85,-3,23.32,7.17
Windsor-Essex CDSB,864170,St Thomas of Villanova Secondary School,English,2800 North,LaSalle,N9A6Z6,1162,42.18597,-83.03966,3.5,NA,22.3,NA,0.93,3,0.65,0.88,0,11.99,13.03
Windsor-Essex CDSB,718018,St. Michael's Adult High School,English,477 Detroit,Windsor,N9C2P6,340,42.30261,-83.07175,18.5,7.4,3.5,NA,NA,NA,NA,N/D,NA,38.17,5.15
York CDSB,728632,Cardinal Carter Catholic Secondary School,English,210 Bloomington,Aurora,L4G3G9,1343,43.96156,-79.46643,18.6,0.8,14.7,SP,0.77,-12,0.52,0.89,-3,13.75,36.46
York CDSB,849901,Father Bressani Catholic High School,English,250 Ansley Grove,Woodbridge,L4L3W4,1004,43.79856,-79.56352,11.1,SP,17.8,4.4,0.83,-1,0.39,0.87,5,12.16,15.25
York CDSB,706809,Father Michael McGivney Catholic Academy High School,English,5300 th,Markham,L3S3K8,1076,43.84971,-79.27836,47.7,4.6,8.8,NA,0.9,6,0.45,0.93,4,22.59,23.91
York CDSB,720488,Holy Cross Catholic Academy High School,English,7501 Martin Grove,Woodbridge,L4L1A5,886,43.7692,-79.60755,9.8,SP,18.3,NA,0.55,-29,0.39,0.76,-4,14.41,14.31
York CDSB,874888,Jean Vanier High School,English,10475 Bayview,Richmond Hill,L4C3P2,751,43.88646,-79.4179,38.1,7.2,18.6,NA,0.87,-1,0.58,0.8,-4,24.14,34.5
York CDSB,748528,Our Lady of the Lake Catholic College High School,English,185 Glenwoods,Keswick,L4P2W6,394,44.21328,-79.46022,7.9,NA,28.4,NA,0.72,-6,0.54,0.72,-6,16.98,6.12
York CDSB,756709,Sacred Heart Catholic High School,English,908 Lemar,Newmarket,L3Y1R9,986,44.05783,-79.44088,20.1,5.9,24.6,5.7,0.91,0,0.65,0.83,-4,15.81,24.8
York CDSB,765708,St Augustine Catholic High School,English,2188 Rodick,Markham,L6C1S3,1120,43.87515,-79.35782,37.5,1.3,10.4,NA,0.98,4,0.59,0.92,-2,17.24,29.61
York CDSB,691356,St Brother André Catholic High School,English,6160 th,Markham,L3P3K8,1452,43.89329,-79.25898,20.6,1.1,18.7,5.2,0.83,-7,0.36,0.86,-4,16.31,29.12
York CDSB,788112,St Elizabeth Catholic High School,English,525 New Westminster,Thornhill,L4J7X3,1704,43.80334,-79.45705,21.3,3.9,11.1,NA,0.87,-6,0.52,0.82,-9,14.7,24.99
York CDSB,799912,St Jean de Brebeuf Catholic High School,English,2 Davos,Woodbridge,L4H2Y1,1344,43.83485,-79.55954,23.7,0.8,13.3,NA,0.74,-4,0.35,0.85,7,13.98,16.68
York CDSB,801259,St Joan of Arc Catholic High School,English,1 St Joan of Arc,Maple,L6A1W9,1328,43.86148,-79.51983,19.3,5.3,20.2,SP,0.77,-4,0.24,0.77,-3,14.34,22.1
York CDSB,820733,St Luke Catholic Learning Centre,English,8787 Weston,Woodbridge,L4L0C3,58,43.81505116,-79.55356508,20.7,NA,50,NA,NA,NA,NA,N/R,NA,SP,24.06
York CDSB,811780,St Maximilian Kolbe High School,English,278 Wellington,Aurora,L4G1J5,1488,44.00309,-79.45391,12.2,SP,21.2,NA,0.83,-5,0.39,0.84,-6,13.33,37.2
York CDSB,849626,St Robert Catholic High School,English,8101 Leslie,Thornhill,L3T7P4,1610,43.8346,-79.3796,59.5,4,6,NA,0.96,2,0.37,0.97,1,22.98,30.02
York CDSB,852546,St Theresa of Lisieux Catholic High School,English,230 Shaftsbury,Richmond Hill,L4C0E8,1730,43.89512,-79.46619,32.7,2.7,17,5,0.96,0,0.77,0.95,3,17.36,44.58
York Region DSB,890286,ACCESS Program,English,36 REGATTA,RICHMOND HILL,L4E4R1,34,43.95246,-79.45738,SP,SP,NA,NA,NA,NA,NA,N/R,NA,SP,SP
York Region DSB,904040,Alexander MacKenzie High School,English,300 Major MacKenzie,Richmond Hill,L4C3S3,945,43.87005,-79.44684,38,6.3,26.1,2.4,0.87,-4,0.37,0.87,0,21.34,32.58
York Region DSB,892998,Aurora High School,English,155 Wellington,Aurora,L4G2P4,1174,43.99567,-79.48099,19.8,2.3,24.3,6.7,0.92,3,0.48,0.91,-3,13.5,29.81
York Region DSB,893978,Bayview Secondary School,English,10077 Bayview,Richmond Hill,L4C2L4,1970,43.87822,-79.41491,64.2,13.6,19.4,11.8,0.97,2,0.54,0.94,2,22.19,39.53
York Region DSB,939585,Bill Crothers Secondary School,English,44 Main,Unionville,L3R2E4,1453,43.8583,-79.31,10,SP,15.4,2.8,0.88,3,0.75,0.96,2,16.18,28.59
York Region DSB,890202,Bill Hogarth Secondary School,English,100 Donald Sim,Markham,L6B0R4,NA,43.89288,-79.23044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
York Region DSB,933346,Bur Oak Secondary School,English,933 Bur Oak,Markham,L6E1G4,1702,43.8973,-79.2787,62.5,5.7,11.7,0.8,0.97,-1,0.71,0.9,-3,17.64,26.75
York Region DSB,905020,Dr G W Williams Secondary School,English,39 Dunning,Aurora,L4G1A2,737,43.9907,-79.46219,22.8,2.4,30.7,4.9,0.94,4,0.37,0.87,3,13.87,34.61
York Region DSB,904970,Dr John M Denison Secondary School,English,135 Bristol,Newmarket,L3Y8J7,886,44.06902,-79.47705,23.6,2.6,26.4,1.2,0.88,8,0.46,0.75,-13,15.26,21.17
York Region DSB,908819,Emily Carr Secondary School,English,4901 Rutherford,Woodbridge,L4H3C2,1507,43.81732,-79.59349,17.1,1.5,15.6,1.1,0.82,-5,0.49,0.87,3,10.05,19.83
York Region DSB,917893,Huron Heights Secondary School,English,40 Huron Heights,Newmarket,L3Y3J9,1329,44.06421,-79.44593,3.8,SP,33.2,1.4,0.88,6,0.27,0.79,-8,14.99,10
York Region DSB,919233,Keswick High School,English,100 Biscayne,Keswick,L4P3L5,1039,44.22277,-79.45788,2.7,SP,29.8,SP,0.69,-4,0.44,0.74,2,16.53,7.64
York Region DSB,919586,King City Secondary School,English,2001 King,King City,L7B1K2,1045,43.93021,-79.51743,24.3,3.2,20.2,1.8,0.81,-2,0.3,0.77,-6,13.42,29.26
York Region DSB,921661,Langstaff Secondary School,English,106 Garden,Richmond Hill,L4C6M1,1045,43.83861,-79.43989,52.3,6.9,11.8,1.7,0.87,-2,0.32,0.93,1,23.97,32.11
York Region DSB,951714,Maple High School,English,50 Springside,Maple,L6A2W5,1152,43.8394,-79.5306,61,9.7,16.8,1.5,0.83,-5,0.33,0.85,4,19.67,22.5
York Region DSB,924911,Markham District High School,English,89 Church,Markham,L3P2M3,1473,43.88042,-79.25082,28.9,SP,32.2,13.7,0.85,-7,0.46,0.86,-8,14.99,35.53
York Region DSB,924849,Markville Secondary School,English,1000 Carlton,Markham,L3P7P5,1352,43.87738,-79.2893,57.5,5.2,26.8,15.6,0.98,5,0.56,0.94,0,19.83,31.35
York Region DSB,926140,Middlefield Collegiate Institute,English,525 Highglen,Markham,L3S3L5,1357,43.84742,-79.26785,77.9,4.4,13.6,SP,0.91,-7,0.75,0.9,-4,26.12,21.34
York Region DSB,926817,Milliken Mills High School,English,7522 Kennedy,Unionville,L3R9S5,995,43.83768,-79.30516,78.8,10.6,15.9,SP,0.91,-1,0.47,0.9,4,26.6,9.11
York Region DSB,928682,Newmarket High School,English,505 Pickering,Newmarket,L3Y8H1,1344,44.04734,-79.43404,15.6,1.5,27.5,13.6,0.9,3,0.47,0.94,0,13.4,30.61
York Region DSB,894672,Pierre Elliott Trudeau High School,English,90 Bur Oak,Markham,L6C2E6,1984,43.8898,-79.3131,52.9,7.7,12.6,3.6,0.96,0,0.54,0.93,0,18.05,34.61
York Region DSB,964809,Richmond Green Secondary School,English,1 William F Bell,Richmond Hill,L4S2T9,1240,43.9033,-79.3978,55.2,4.5,17.2,1.3,0.91,-2,0.44,0.88,-2,18.34,42.73
York Region DSB,938106,Richmond Hill High School,English,201 Yorkland,Richmond Hill,L4S1A2,1698,43.9028,-79.4397,55.2,7.5,32.5,22.9,0.94,2,0.62,0.93,-1,20.61,54.14
York Region DSB,942340,Sir William Mulock Secondary School,English,705 Columbus,Newmarket,L3X2M7,1223,44.0322,-79.4798,22.6,1.7,22.6,2,0.87,0,0.51,0.83,-1,15.24,25.06
York Region DSB,945508,Stephen Lewis Secondary School,English,555 Autumn Hill,Thornhill,L4J8X2,1337,43.836,-79.4751,49.7,4.3,25.4,1.5,0.92,2,0.45,0.9,-2,14.59,41.37
York Region DSB,945455,Stouffville District Secondary School,English,801 Hoover Park,Stouffville,L4A0A4,1253,43.9633,-79.2588,24.5,1.7,21.4,1.7,0.86,0,0.57,0.87,-2,16.92,22.46
York Region DSB,946362,Sutton District High School,English,20798 Dalton,Sutton,L0E1R0,579,44.30241,-79.36251,SP,SP,33.2,SP,0.52,-5,0.39,0.6,2,18.32,SP
York Region DSB,947792,Thornhill Secondary School,English,167 Dudley,Thornhill,L3T2E5,1155,43.81001,-79.41978,54.9,11.3,33,19.2,0.89,-7,0.65,0.9,1,23.16,30.27
York Region DSB,947814,Thornlea Secondary School,English,8075 Bayview,Thornhill,L3T4N4,744,43.82954,-79.40292,43.3,5.1,17.7,1.9,0.86,2,0.35,0.91,-1,22.67,33.84
York Region DSB,898285,Tommy Douglas Secondary School,English,4020 Major Mackenzie,Woodbridge,L4L1A6,721,43.84448,-79.56747,56.4,2.8,14.3,SP,0.92,1,0.48,0.83,-3,15.44,15.56
York Region DSB,949140,Unionville High School,English,201 Town Centre,Unionville,L3R8G5,1648,43.85859,-79.3367,60.9,11.6,12.7,5.3,0.95,0,0.62,0.93,-3,21.99,42.07
York Region DSB,949230,Vaughan Secondary School,English,1401 Clark,Thornhill,L4J7R4,1202,43.79719,-79.4687,43.2,3.4,18.8,3.3,0.81,-4,0.41,0.88,-4,16.44,24.39
York Region DSB,952516,Westmount Collegiate Institute,English,1000 New Westminster,Thornhill,L4J8G3,1257,43.81630012,-79.45486285,27.7,3.3,23.6,2.3,0.9,1,0.58,0.93,2,14.06,46.74
York Region DSB,954292,Woodbridge College,English,71 Bruce,Woodbridge,L4L1J3,642,43.7799,-79.5828,54.4,4,19.8,SP,0.83,0,0.14,0.82,-8,16.12,11.18
